genus_name,mean,st_dev,max_diameter,min_diameter,range
EUCALYPTUS,1.5,0.7071067811865476,2,1,2
EUCOMMIA,6.529411764705882,2.0346267181851667,10,3,3
EUCOMMIA,6.529411764705882,2.0346267181851667,10,3,10
EUONYMUS,3.769230769230769,2.4800485934031666,12,3,3
EUONYMUS,3.769230769230769,2.4800485934031666,12,3,12
FAGUS,8.2665037437604,7.68957926518907,54.5,0,0
FAGUS,8.2665037437604,7.68957926518907,54.5,0,54.5
FICUS,7.175,4.493900186796419,14.75,3,3
FICUS,7.175,4.493900186796419,14.75,3,14.75
FRAXINUS,9.508162850562254,6.783330943131494,97.5,0,0
FRAXINUS,9.508162850562254,6.783330943131494,97.5,0,97.5
GINKGO,4.858471074380165,3.7957937707128195,29,0,0
GINKGO,4.858471074380165,3.7957937707128195,29,0,29
GLEDITSIA,7.574061919504644,5.692057965895793,38,1,1
GLEDITSIA,7.574061919504644,5.692057965895793,38,1,38
GYMNOCLADUS,3.0878378378378377,0.4972710815325264,6,2.75,2.75
GYMNOCLADUS,3.0878378378378377,0.4972710815325264,6,2.75,6
HALESIA,6,NA,6,6,6
HALESIA,6,NA,6,6,6
HIBISCUS,3.3819371727748693,1.0345738589951785,9,1.5,1.5
HIBISCUS,3.3819371727748693,1.0345738589951785,9,1.5,9
HIPPOPHAE,3,0,3,3,3
HIPPOPHAE,3,0,3,3,3
ILEX,12.129057591623036,6.606245541896217,43,3,3
ILEX,12.129057591623036,6.606245541896217,43,3,43
JUGLANS,17.546036585365854,9.011014025376083,41,1.5,1.5
JUGLANS,17.546036585365854,9.011014025376083,41,1.5,41
JUNIPERUS,15.362676056338028,8.5742334863984,60,5,5
JUNIPERUS,15.362676056338028,8.5742334863984,60,5,60
KALOPANAX,5,NA,5,5,5
KALOPANAX,5,NA,5,5,5
KOELREUTERIA,7.690789473684211,4.220859641902696,18.5,2,2
KOELREUTERIA,7.690789473684211,4.220859641902696,18.5,2,18.5
LABURNUM,12.072857142857142,5.235938258855756,26,0.5,0.5
LABURNUM,12.072857142857142,5.235938258855756,26,0.5,26
LARIX,13.583333333333334,7.6924796018086665,24,3,3
LARIX,13.583333333333334,7.6924796018086665,24,3,24
LAURUS,7.72,2.167256330017287,11.5,6,6
LAURUS,7.72,2.167256330017287,11.5,6,11.5
